"Post ID",Title,URLs,Categories
,"(Dates) April 15, 2012, October 2013",https://contentdesign.intuit.com/resources/word-list/d/dates-april-15-2012-october-2013/,
,"2020 Writers Symposium",https://contentdesign.intuit.com/2020-writers-symposium/,
,A,https://contentdesign.intuit.com/resources/word-list/a/,
,"a carryforward (n) but to carry forward an amount (v)",https://contentdesign.intuit.com/resources/word-list/c/a-carryforward-n-but-to-carry-forward-an-amount-v/,
,"a carryover (n) but to carry over an amount (v)",https://contentdesign.intuit.com/resources/word-list/c/a-carryover-n-but-to-carry-over-an-amount-v/,
,"A to Z index",https://contentdesign.intuit.com/a-to-z-index/,
,a.m.,https://contentdesign.intuit.com/resources/word-list/a/a-m/,
,"Abbreviating the word &#8220;number&#8221;",https://contentdesign.intuit.com/style/numbers/abbreviating-the-word-number/,
,"Abolish racist language",https://contentdesign.intuit.com/accessibility-and-inclusion/abolish-racist-language/,
,"About me",https://contentdesign.intuit.com/resources/word-list/a/about-me/,
,"above, below",https://contentdesign.intuit.com/resources/word-list/a/above-below/,
,accept,https://contentdesign.intuit.com/resources/word-list/a/accept/,
,access,https://contentdesign.intuit.com/resources/word-list/a/access/,
,"Accessibility and inclusion",https://contentdesign.intuit.com/accessibility-and-inclusion/,
,"Accessibility principles",https://contentdesign.intuit.com/accessibility-and-inclusion/accessibility-principles/,
,"Accessible content guidelines",https://contentdesign.intuit.com/accessibility-and-inclusion/accessible-content-guidelines/,
,account,https://contentdesign.intuit.com/resources/word-list/a/account/,
,"account names",https://contentdesign.intuit.com/resources/word-list/a/account-names/,
,"account statement",https://contentdesign.intuit.com/resources/word-list/a/account-statement/,
,accountant,https://contentdesign.intuit.com/resources/word-list/a/accountant/,
,"accountant ready",https://contentdesign.intuit.com/resources/word-list/a/accountant-ready/,
,"accounts payable (A/P)",https://contentdesign.intuit.com/resources/word-list/a/accounts-payable-a-p/,
,"accounts receivable (A/R)",https://contentdesign.intuit.com/resources/word-list/a/accounts-receivable-a-r/,
,"Accrual, accrual-based",https://contentdesign.intuit.com/resources/word-list/a/accrual-accrual-based/,
,"Acronyms &#038; abbreviations",https://contentdesign.intuit.com/style/formatting/acronyms/,
,"active, inactive",https://contentdesign.intuit.com/resources/word-list/a/active-inactive/,
,add,https://contentdesign.intuit.com/resources/word-list/a/add/,
,"Add from Contacts",https://contentdesign.intuit.com/resources/word-list/a/add-from-contacts/,
,add-in/add-on,https://contentdesign.intuit.com/resources/word-list/a/add-in-add-on/,
,Addresses,https://contentdesign.intuit.com/content-patterns/addresses/,
,"adjusted gross income (AGI)",https://contentdesign.intuit.com/resources/word-list/a/adjusted-gross-income-agi/,
,admin,https://contentdesign.intuit.com/resources/word-list/a/admin/,
,"Adobe Acrobat Reader, Adobe Acrobat, Adobe Reader",https://contentdesign.intuit.com/resources/word-list/a/adobe-acrobat-reader-adobe-acrobat-adobe-reader/,
,adviser,https://contentdesign.intuit.com/resources/word-list/a/adviser/,
,advisor,https://contentdesign.intuit.com/resources/word-list/a/advisor/,
,"Affordable Care Act (ACA)",https://contentdesign.intuit.com/resources/word-list/a/affordable-care-act-aca/,
,agent,https://contentdesign.intuit.com/resources/word-list/a/agent/,
,aging,https://contentdesign.intuit.com/resources/word-list/a/aging/,
,"aging report",https://contentdesign.intuit.com/resources/word-list/a/aging-report/,
,AI,https://contentdesign.intuit.com/resources/word-list/a/ai/,
,"Aim for 5th to 8th grade readability",https://contentdesign.intuit.com/accessibility-and-inclusion/aim-for-5th-to-8th-grade-readability/,
,"all rights reserved",https://contentdesign.intuit.com/resources/word-list/a/all-rights-reserved/,
,"allows, allows you to",https://contentdesign.intuit.com/resources/word-list/a/allows-allows-you-to/,
,"Alternative Minimum Tax",https://contentdesign.intuit.com/resources/word-list/a/alternative-minimum-tax/,
,amortization,https://contentdesign.intuit.com/resources/word-list/a/amortization/,
,Ampersands,https://contentdesign.intuit.com/style/punctuation/ampersands/,
,AMT,https://contentdesign.intuit.com/resources/word-list/a/amt/,
,"An (Intuit) designer&#8217;s story",https://contentdesign.intuit.com/resources/every-one-a-designers-story/,
,"and so on",https://contentdesign.intuit.com/resources/word-list/a/and-so-on/,
,and/or,https://contentdesign.intuit.com/resources/word-list/a/and-or/,
,AnswerXchange,https://contentdesign.intuit.com/resources/word-list/a/answerxchange/,
,"anti words",https://contentdesign.intuit.com/resources/word-list/a/anti-words/,
,antivirus,https://contentdesign.intuit.com/resources/word-list/a/antivirus/,
,"any time (adj), anytime (adv)",https://contentdesign.intuit.com/resources/word-list/a/any-time-adj-anytime-adv/,
,API,https://contentdesign.intuit.com/resources/word-list/a/api/,
,Apostrophes,https://contentdesign.intuit.com/style/punctuation/apostrophes/,
,app,https://contentdesign.intuit.com/resources/word-list/a/app/,
,appears,https://contentdesign.intuit.com/resources/word-list/a/appears/,
,"Apple ID",https://contentdesign.intuit.com/resources/word-list/a/apple-id/,
,"Apple Safari; Safari",https://contentdesign.intuit.com/resources/word-list/a/apple-safari-safari/,
,"application programming interface; API",https://contentdesign.intuit.com/resources/word-list/a/application-programming-interface-api/,
,"Arrears (bill in arrears)",https://contentdesign.intuit.com/resources/word-list/a/arrears-bill-in-arrears/,
,"assist, assistance",https://contentdesign.intuit.com/resources/word-list/a/assist-assistance/,
,AST,https://contentdesign.intuit.com/resources/word-list/a/ast/,
,Asterisks,https://contentdesign.intuit.com/style/punctuation/asterisks/,
,"at the top; at the bottom",https://contentdesign.intuit.com/resources/word-list/a/at-the-top-at-the-bottom/,
,auto-fill,https://contentdesign.intuit.com/resources/word-list/a/auto-fill/,
,autocategorization,https://contentdesign.intuit.com/resources/word-list/a/autocategorization/,
,B,https://contentdesign.intuit.com/resources/word-list/b/,
,"Back to top",https://contentdesign.intuit.com/resources/word-list/b/back-to-top/,
,"back up (v), backup (n, adj)",https://contentdesign.intuit.com/resources/word-list/b/back-up-v-backup-n-adj/,
,back-end,https://contentdesign.intuit.com/resources/word-list/b/back-end/,
,backdated,https://contentdesign.intuit.com/resources/word-list/b/backdated/,
,backorder,https://contentdesign.intuit.com/resources/word-list/b/backorder/,
,"Bad news",https://contentdesign.intuit.com/content-patterns/bad-news/,
,bank,https://contentdesign.intuit.com/resources/word-list/b/bank/,
,"bank-level security",https://contentdesign.intuit.com/resources/word-list/b/bank-level-security/,
,"based on",https://contentdesign.intuit.com/resources/word-list/b/based-on/,
,"Be clear and precise",https://contentdesign.intuit.com/style/principles/be-clear-and-precise/,
,before,https://contentdesign.intuit.com/resources/word-list/b/before/,
,"best selling (n.), best-selling (adj.)",https://contentdesign.intuit.com/resources/word-list/b/best-selling-n-best-selling-adj/,
,beta,https://contentdesign.intuit.com/resources/word-list/b/beta/,
,"bi words",https://contentdesign.intuit.com/resources/word-list/b/bi-words/,
